Year,Category,Unit,Value
2015,Official Development Assistance (ODA),(J$ Million),42103
2015,Foreign Direct Investment (FDI),(J$ Million),108512
2015,% ODA / Central Government Expenditure,(Per cent),9.1
2015,% FDI / Central Government Expenditure,(Per cent),23.6
2016,Official Development Assistance (ODA),(J$ Million),41634
2016,Foreign Direct Investment (FDI),(J$ Million),116127
2016,% ODA / Central Government Expenditure,(Per cent),8.3
2016,% FDI / Central Government Expenditure,(Per cent),23.1
2017,Official Development Assistance (ODA),(J$ Million),101045
2017,Foreign Direct Investment (FDI),(J$ Million),114091
2017,% ODA / Central Government Expenditure,(Per cent),18.3
2017,% FDI / Central Government Expenditure,(Per cent),20.7
2018,Official Development Assistance (ODA),(J$ Million),28629
2018,Foreign Direct Investment (FDI),(J$ Million),100484
2018,% ODA / Central Government Expenditure,(Per cent),4.7
2018,% FDI / Central Government Expenditure,(Per cent),16.6
2019,Official Development Assistance (ODA),(J$ Million),18912
2019,Foreign Direct Investment (FDI),(J$ Million),89310
2019,% ODA / Central Government Expenditure,(Per cent),3.0
2019,% FDI / Central Government Expenditure,(Per cent),14.2
