Year,Jamaica,Rural,KMA,Other Towns,Male,Female,Age Group (years) 0-8,Age Group (years) 0-17,Age Group (years) 10-19,Age Group (years) 15-24,Age Group (years) 25-34,Age Group (years) 35-59,Age Group (years) 60
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
2010,17.6,23.2,14.4,11.6,11.1,13.8,20.8,21.9, 22.3,20.1,13.3,14.2, 15.9
2012,19.9,21.3,19.7,16.6,13.2,15.9,26.0,25.0,24.0,23.6,17.0,16.6,14.6
2013,24.6,31.3,17.8,20.0,15.4,19.1,29.6,32.1,32.9,29.8,19.0,20.1,17.5
2014,20.0,24.9,15.3,16.2,12.0,15.4,23.9,25.6,27.5,23.5,16.7,16.2,15.2
2015,21.2,28.5,14.3,14.7,14,16.6,24.2,26.5,27.8,26.2,18.8,16.3,17.9
2016,17.1,20.5,11.9,16.0,10.4,13.0,19.3,20.8,23.3,22.2,12.9,15.1,13.5
2017,19.3,20.1,17.1,20.1,12.0,14.8,22.9,24.1,26.1,23.6,17.7,15.4,14.5
