Year,Geographical Region,Sex,Value
2011,Jamaica,,37.2
2012,Jamaica,,38.3
2013,Jamaica,,39.1
2014,Jamaica,,40.4
2015,Jamaica,42.2,
2011,,Male,17.0
2011,,Female,20.2
2012,,Male,17.6
2012,,Female,20.7
2013,,Male,21.4
2013,,Female,17.7
2014,,Male,18.0
2014,,Female,22.4
2015,,Male,19.5
2015,,Female,22.7
2014,Urban,,26.8
2014,Rural,,13.6
2015,Urban,,33.3
2015,Rural,,8.9
